mukey,sandtotal_r,silttotal_r,claytotal_r,dbthirdbar_r,awc_r,om_r,ph1to1h2o_r,cec7_r,ec_r
1416068,66.80000305175781,19.200000762939453,14,1.3799999952316284,0.11999999731779099,0.75,7.5,10.199999809265137,0
1416069,70.49200152587892,17.263000381469727,12.245,1.564700033187866,0.11999999731779099,0.75,7.859200085639954,7.510199990272522,1
1416072,64.81294109120088,23.028235244750977,12.158823529411764,1.4099999596090877,0.10482353112276863,1.2117647058823529,7.111764599295223,7.714117588716395,1
1421437,42.48825075149536,28.472999558448794,29.038750000000004,1.3407500261068344,0.14347500408068298,1.050625,7.88000003695488,20.0375,1.15
1421630,57.459999084472656,18.539999771118165,24,1.32599995136261,0.07199999839067459,0.85,7.899999809265137,21.679999923706056,0
1421812,67.9000015258789,19.600000381469727,12.5,1.4199999570846558,0.07200000107288361,0.5,7.984000015258789,6.12,0.7199999999999999
1423101,40.764999828338624,30.349999713897706,28.885,1.3030000078678132,0.12060000479221342,0.9949999999999999,6.951000046730042,15.695000000000002,0
1424982,66,23,11,1.4199999570846558,0.10000000149011612,1,7.900000095367432,8.5,1
1424987,58.43539894104004,19.11359973526001,22.451,1.4061199703216551,0.11858000050485135,0.75,7.199999809265137,16.480999999999998,0.306
1425165,27.476000518798827,27.323999710083008,45.2,1.2540000104904174,0.07879999846220016,0.62,7.864000072479248,24.72,0
1425287,68.5,21.5,10,1.4299999475479126,0.07999999821186066,2,6.800000190734863,6,0
1425688,41.48823414970847,34.78235390607048,23.729411764705883,1.3194117938770968,0.10200000405311585,1.326470588235294,7.596470692578484,14.958823529411765,0
1426117,41.26935127258301,32.9971272997789,25.73352112676056,1.3122535410061689,0.11011268043182265,1.2091549295774646,7.391267716045111,15.485352112676058,0
1427767,33.29999923706055,31.700000762939453,35,1.3300000429153442,0.1899999976158142,1.5,7.900000095367432,21,0
1427768,59.81999969482422,19.679999923706056,20.5,1.4119999647140502,0.13199999928474426,0.25,6.9999998092651365,15.160000038146972,1
1427770,NA,NA,NA,NA,NA,NA,NA,NA,NA
1427775,66.9000015258789,23.100000381469727,10,1.4299999475479126,0.11999999731779099,0.75,7.5,8.199999809265137,0
1427806,NA,NA,NA,NA,NA,NA,NA,NA,NA
1427809,28.163999481201177,31.53600051879883,40.3,1.350000023841858,0.1599999964237213,0.99,6.9160000991821295,22.6,0
1427812,37.95599899291992,27.504000396728514,34.54,1.3755999994277954,0.13759999871253967,0.9099999999999999,7.140000190734864,18.28,0
1427814,47.24496656480727,22.94184636461866,29.813186813186814,1.3510725031318247,0.11001318435420046,0.8803296703296704,7.499648292038467,20.673054845621298,0.16175824175824177
53885,56.538567463889045,23.303820820139414,20.157611940298505,1.3021373212159568,0.14626865611592335,0.5825373134328359,7.811343322583099,14.522089552238807,1
54340,67.9000015258789,19.600000381469727,12.5,1.4199999570846558,0.10000000149011612,0.5,7.900000095367432,8.5,1
54398,67.24000244140625,16.960000038146973,15.8,1.350000023841858,0.15199999809265136,0.45,7.539999961853027,12.2,1
54399,66.97600280761719,15.90399990081787,17.12,1.362000012397766,0.15679999709129333,0.33,7.515999984741211,11.48,1
54403,67.53333536783855,18.133333524068195,14.333333333333334,1.3811111052831013,0.14666666587193808,0.3611111111111111,7.388888782925076,9.88888888888889,1
54411,67.4000015258789,7.599999904632568,25,1.4199999570846558,0.14000000059604645,0.25,7.199999809265137,7,1
801772,66,23,11,1.4199999570846558,0.0853000009059906,0.8040000116825103,7.900000095367432,8.5,1
